SheafHyperGNNDiag_0.001_1e-05_6,79.778 ± 1.400,78.464 ± 1.508,0.0min4.19s
SheafHyperGNNDiag_0.001_1e-05_6,76.691 ± 0.872,74.786 ± 1.974,58.0min15.30s
SheafHyperGNNDiag_0.001_1e-05_6,79.557 ± 1.047,78.227 ± 1.805,0.0min2.32s
SheafHyperGNNDiag_0.001_1e-05_6,79.557 ± 1.047,78.227 ± 1.805,0.0min2.32s
SheafHyperGNNDiag_0.001_1e-05_6,79.557 ± 1.047,78.227 ± 1.805,0.0min2.35s
SheafHyperGNNDiag_0.001_1e-05_6,78.508 ± 1.651,77.297 ± 1.671,0.0min5.95s
SheafHyperGNNDiag_0.001_1e-05_6,78.508 ± 1.481,77.282 ± 1.592,0.0min1.44s
SheafHyperGNNDiag_0.001_1e-05_6,79.557 ± 1.047,78.227 ± 1.805,0.0min2.35s
SheafHyperGNNDiag_0.001_1e-05_6,79.557 ± 1.047,78.227 ± 1.805,0.0min2.36s
